"sample","Host"
"H139_S273","Human"
"H144_S111","Human"
"H147_S2","Human"
"H151_S58","Human"
"H153_S145","Human"
"H154-redeposit_S7","Human"
"H155-redeposit_S10","Human"
"H160-redeposit_S11","Human"
"H164_S148","Human"
"H172_S149","Human"
"H177_S6","Human"
"H179_S272","Human"
"H183_S7","Human"
"H187_S4","Human"
"H190_S9","Human"
"H191_S10","Human"
"H194_S103","Human"
"H196_S105","Human"
"H198_S8","Human"
"H200_S106","Human"
"H204_S107","Human"
"H205_S108","Human"
"H207_S109","Human"
"H217_S110","Human"
"H219_S111","Human"
"H221_S113","Human"
"H222_S112","Human"
"H225_S114","Human"
"H228_S115","Human"
"H231_S276","Human"
"H236_S6","Human"
"H239_S7","Human"
"H241_S8","Human"
"H242_S271","Human"
"H245_S9","Human"
"H248_S10","Human"
"H249_S83","Human"
"H26_S57","Human"
"H265_S151","Human"
"H267_S5","Human"
"H268_S152","Human"
"H277_S113","Human"
"H282_S150","Human"
"H283_S147","Human"
"H286_S149","Human"
"H287_S159","Human"
"H288_S158","Human"
"H289_S92","Human"
"H29_S189","Human"
"H290_S90","Human"
"H293_S39","Human"
"H294_S155","Human"
"H295-redeposit_S8","Human"
"H298_S109","Human"
"H3_S195","Human"
"H307_S275","Human"
"H308_S143","Human"
"H31_S108","Human"
"H311-redeposit_S263","Human"
"H315_S94","Human"
"H32_S204","Human"
"H322-redeposit_S2","Human"
"H327_S105","Human"
"H332_S274","Human"
"H339_S261","Human"
"H340_S111","Human"
"H341_S75","Human"
"H342_S8","Human"
"H343_S74","Human"
"H348_S148","Human"
"H35_S65","Human"
"H359_S13","Human"
"H360_S105","Human"
"H39_S46","Human"
"H42_S271","Human"
"H49_S266","Human"
"H5-redeposit_S5","Human"
"H66_S191","Human"
"H7_S268","Human"
"H71_S63","Human"
"H73_S193","Human"
"H74_S144","Human"
"H76_S107","Human"
"H78_S67","Human"
"H79_S66","Human"
"H82_S55","Human"
"H84_S64","Human"
"H85_S9","Human"
"H87_S8","Human"
"H88_S142","Human"
"H93_S1","Human"
"H94_S150","Human"
"H97_S47","Human"
"H99_S143","Human"
"OI13_S107","Goose"
"OI14_S108","Goose"
"OI15_S109","Goose"
"OI17_S110","Goose"
"OI18_S111","Goose"
"OI19_S112","Goose"
"OI21_S113","Goose"
"OI23_S263","Goose"
"OI24_S130","Goose"
"OI25_S124","Goose"
"OI26_S262","Goose"
"OI27_S4","Goose"
"OI28-redep_S1","Goose"
"OI29_S3","Goose"
"OI30_S264","Goose"
"OI31_S15","Goose"
"OI32_S13","Goose"
"OI34-redeposit_S2","Goose"
"OI35_S123","Goose"
"OI37_S128","Goose"
"OI38_S16","Goose"
"OI40_S146","Goose"
"OI41_S8","Goose"
"OI44_S102","Goose"
"OI47_S96","Goose"
"OI49_S109","Goose"
"OI50_S79","Goose"
"OI51_S78","Goose"
"OI53_S76","Goose"
"OI7_S24","Goose"
"OI8_S25","Goose"
"OI9_S26","Goose"
"PC100_S268","Pig"
"PC19_S143","Pig"
"PC2_S25","Pig"
"PC20_S21","Pig"
"PC21_S2","Pig"
"PC22_S3","Pig"
"PC23_S6","Pig"
"PC25_S142","Pig"
"PC27_S265","Pig"
"PC28_S196","Pig"
"PC29_S52","Pig"
"PC30-redeposit_S2","Pig"
"PC31_S170","Pig"
"PC32_S173","Pig"
"PC33_S141","Pig"
"PC34_S133","Pig"
"PC35_S39","Pig"
"PC36_S41","Pig"
"PC37_S68","Pig"
"PC38_S33","Pig"
"PC39_S36","Pig"
"PC4_S22","Pig"
"PC40_S44","Pig"
"PC41-redeposit_S4","Pig"
"PC42_S72","Pig"
"PC45_S25","Pig"
"PC46_S26","Pig"
"PC47_S24","Pig"
"PC5_S36","Pig"
"PC51_S27","Pig"
"PC52_S28","Pig"
"PC53_S29","Pig"
"PC54_S30","Pig"
"PC55_S31","Pig"
"PC56_S89","Pig"
"PC57_S90","Pig"
"PC58_S91","Pig"
"PC59_S92","Pig"
"PC60_S93","Pig"
"PC61_S94","Pig"
"PC62_S95","Pig"
"PC63_S96","Pig"
"PC65_S97","Pig"
"PC66_S98","Pig"
"PC67_S99","Pig"
"PC68_S100","Pig"
"PC70_S1","Pig"
"PC75_S134","Pig"
"PC76_S108","Pig"
"PC77_S36","Pig"
"PC78_S122","Pig"
"PC80_S126","Pig"
"PC81_S145","Pig"
"PC82_S91","Pig"
"PC83_S139","Pig"
"PC84_S127","Pig"
"PC85_S132","Pig"
"PC86_S133","Pig"
"PC87_S135","Pig"
"PC89_S92","Pig"
